"","pMean","pSD","yr","mo","spp"
"83",0.035,0.087,2014,1,"ADPE"
"84",0,0,2015,1,"ADPE"
"85",0.012,0.027,2016,1,"ADPE"
"86",0,0,2017,1,"ADPE"
"87",0.055,0.018,2018,1,"ADPE"
"88",0,0,2020,1,"ADPE"
"89",0.024,0.054,1982,10,"ADPE"
"90",0.257,0.284,1977,11,"ADPE"
"91",0.143,0.154,1982,11,"ADPE"
"92",0.077,0.09,1977,12,"ADPE"
"93",0.111,0.084,1981,12,"ADPE"
"94",0.135,0.17,1982,12,"ADPE"
"95",0.132,0.106,1992,12,"ADPE"
"96",0.042,0.054,1993,12,"ADPE"
"97",0.07,0.085,1994,12,"ADPE"
"98",0.058,0.129,1995,12,"ADPE"
"99",0.176,0.137,1996,12,"ADPE"
"100",0.263,0.208,1997,12,"ADPE"
"101",0.045,0.046,1998,12,"ADPE"
"102",0.009,0.018,1999,12,"ADPE"
"103",0,0,2000,12,"ADPE"
"104",0.242,0.18,2001,12,"ADPE"
"105",0.136,0.193,2002,12,"ADPE"
"106",0.05,0.041,2003,12,"ADPE"
"107",0,0,2004,12,"ADPE"
"108",0.024,0.063,2005,12,"ADPE"
"109",0.136,0.204,2006,12,"ADPE"
"110",0.018,0.03,2007,12,"ADPE"
"111",0.018,0.027,2008,12,"ADPE"
"112",0.108,0.219,2009,12,"ADPE"
"113",0.235,0.282,2011,12,"ADPE"
"114",0.202,0.182,2012,12,"ADPE"
"115",0.117,0.216,1978,2,"ADPE"
"116",0.008,0.015,1978,1,"CHPE"
"117",0.018,0.027,1982,1,"CHPE"
"118",0.055,0.083,1983,1,"CHPE"
"119",0.002,0.006,1988,1,"CHPE"
"120",0.044,0.043,1993,1,"CHPE"
"121",0.008,0.017,1994,1,"CHPE"
"122",0.003,0.007,1995,1,"CHPE"
"123",0.101,0.186,1996,1,"CHPE"
"124",0.09,0.122,1998,1,"CHPE"
"125",0.002,0.007,1999,1,"CHPE"
"126",0,0.003,2000,1,"CHPE"
"127",0.016,0.036,2001,1,"CHPE"
"128",0.033,0.04,2002,1,"CHPE"
"129",0.105,0.087,2003,1,"CHPE"
"130",0.013,0.034,2004,1,"CHPE"
"131",0,0,2005,1,"CHPE"
"132",0,0,2006,1,"CHPE"
"133",0.118,0.137,2007,1,"CHPE"
"134",0.111,0.155,2008,1,"CHPE"
"135",0.004,0.011,2009,1,"CHPE"
"136",0.018,0.071,2010,1,"CHPE"
"137",0.043,0.058,2011,1,"CHPE"
"138",0.063,0.1,2012,1,"CHPE"
"139",0.038,0.05,2013,1,"CHPE"
"140",0.008,0.03,2014,1,"CHPE"
"141",0.023,0.09,2015,1,"CHPE"
"142",0.055,0.118,2016,1,"CHPE"
"143",0,0,2017,1,"CHPE"
"144",0,0,2018,1,"CHPE"
"145",0.003,0.013,2019,1,"CHPE"
"146",0.028,0.051,2020,1,"CHPE"
"147",0.02,0.028,1977,11,"CHPE"
"148",0.09,0.111,1982,11,"CHPE"
"149",0.15,0.212,1977,12,"CHPE"
"150",0.154,0.218,1982,12,"CHPE"
"151",0.011,0.024,1995,12,"CHPE"
"152",0.04,0.057,1978,2,"CHPE"
"153",0.021,0.038,1982,2,"CHPE"
"154",0.001,0.006,1988,2,"CHPE"
"155",0.006,0.01,1993,2,"CHPE"
"156",0.004,0.008,1994,2,"CHPE"
"157",0,0,1995,2,"CHPE"
"158",0.025,0.041,1996,2,"CHPE"
"159",0.089,0.144,1997,2,"CHPE"
"160",0.048,0.083,1998,2,"CHPE"
"161",0,0,1999,2,"CHPE"
"162",0,0,2000,2,"CHPE"
"163",0.001,0.004,2001,2,"CHPE"
"164",0.02,0.023,2002,2,"CHPE"
"165",0.054,0.065,2003,2,"CHPE"
"166",0.005,0.011,2004,2,"CHPE"
"167",0,0,2005,2,"CHPE"
"168",0,0,2006,2,"CHPE"
"169",0.106,0.111,2007,2,"CHPE"
"170",0.078,0.086,2008,2,"CHPE"
"171",0.002,0.006,2009,2,"CHPE"
"172",0.012,0.029,2010,2,"CHPE"
"173",0.007,0.016,2011,2,"CHPE"
"174",0.03,0.038,2012,2,"CHPE"
"175",0.019,0.036,2013,2,"CHPE"
"176",0.001,0.005,2014,2,"CHPE"
"177",0,0,2015,2,"CHPE"
"178",0.05,0.066,2016,2,"CHPE"
